Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Is depression a mental illness?	Yes, [clinical depression](https://www.webmd.com/depression/guide/major-depression) is a serious, but treatable, mental illness. It is a medical condition, not a personal weakness.\n\nIt is also very common. Major depression is a clinical syndrome that affects about 6.7% of the U.S. population over age 18, according to the National Institute of Mental Health. Some estimate that major depression may be as high as 15%. Everybody at one point or another will feel sadness as a normal reaction to loss, [grief](https://www.webmd.com/balance/normal-grieving-and-stages-of-grief), or injured self-esteem, but [clinical depression](https://www.webmd.com/depression/depression-assessment/zz-expire), called "major depressive disorder" or "major depression" by doctors, is a serious medical illness that needs professional diagnosis and treatment.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	143
Do children get depression?	Yes. Children are subject to the same factors that [cause depression](https://www.webmd.com/depression/guide/causes-depression) in adults. These include: A change in physical health, life events, heredity, or inheritance, environment, and chemical disturbance in the [brain](https://www.webmd.com/brain/picture-of-the-brain). It is estimated that 2.5% of children in the U.S. suffer from depression. In adolescents, it is estimated to be 4% to 8%.\n\n[Depression in children](https://www.webmd.com/depression/guide/depression-children) is different from the "normal" blues and everyday emotions that are typical in children of various ages. Children who are depressed experience changes in their behavior that are persistent and disruptive to their normal lifestyle, usually interfering with relationships with friends, schoolwork, special interests, and family life. It may also occur at the same time as (or be hidden by) [attention deficit hyperactivity disorder](/content/article/45/1663_51211.htm#ADHD) (ADHD), [obsessive-compulsive disorder](/content/article/45/1663_51211.htm#OCD) ([OCD](https://www.webmd.com/mental-health/obsessive-compulsive-disorder)), or [conduct disorder](/content/article/45/1663_51211.htm#ConductDisorder) (CD).	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	144
Can a lack of sleep cause depression?	No. Lack of sleep alone cannot cause depression, but it does play a role. Lack of [sleep](https://www.webmd.com/sleep-disorders/ss/slideshow-sleep-disorders-overview) resulting from another medical illness or the presence of personal problems can intensify [depression](https://www.webmd.com/depression/ss/slideshow-depression-overview). Chronic inability to [sleep](https://www.webmd.com/sleep-disorders/sleep-habits-assessment) is also an important clue that someone may be depressed.\n\nCommon triggers of [depression](https://www.webmd.com/depression/depression-tv/default.htm) include:\n\n*   Family history of depression.\n*   An abnormal reaction over the loss of a loved one through death, divorce, or separation.\n*   Interpersonal disputes.\n*   Physical, sexual, or emotional abuse.\n*   Major life events such as moving, graduating or retiring, etc.\n*   Serious illness. Major, chronic, and terminal illnesses often contribute to depression. These include cancer, heart disease, stroke, HIV, Parkinson's disease, and others.\n*   Substance abuse. Street drugs or heavy alcohol use can cause mood changes that mimic depression or other [mood disorders](https://www.webmd.com/mental-health/mood-disorders). In addition, some people with substance abuse problems also may have depression, bipolar disorder, or other mood problems even when they are not using mood-altering substances.\n*   Being socially isolated or excluded from family, friends, or other social groups.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	145
Are there any alternatives to the traditional treatments for depression that I can try?	Alternative therapy describes any treatment or technique that has not been extensively scientifically documented or identified as safe or effective for a specific condition. Alternative therapy involves a variety of disciplines that include everything from diet to mental conditioning and lifestyle changes. Some of these have been found to be effective for [treating depression](https://www.webmd.com/depression/guide/depression-treatment-care). \n\nExercise, sometimes considered an alternative treatment, has gained increasing evidence for its ability to treat mild to moderate forms of depression. \n\nExamples of alternative therapies include [acupuncture](https://www.webmd.com/pain-management/consider-acupuncture), guided imagery, [chiropractic](https://www.webmd.com/pain-management/guide/chiropractic-pain-relief) care, [yoga](https://www.webmd.com/balance/guide/the-health-benefits-of-yoga), hypnosis, [biofeedback](https://www.webmd.com/pain-management/biofeedback-therapy-uses-benefits), aromatherapy, relaxation, herbal remedies, [massage](https://www.webmd.com/balance/guide/massage-therapy-styles-and-health-benefits), and [many others](https://www.webmd.com/depression/guide/alternative-therapies-depression). If you are interested in trying any of these options, talk to your doctor.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	146
How can you determine if an illness is causing depression or depression is causing an illness?	Illnesses that can lead to depression are usually major, chronic, and/or terminal. When an illness is causing depression, there is often long-term pain or physical disability present or there is a sudden change in lifestyle.\n\nDepression causes illness in a [different way](https://www.webmd.com/depression/guide/untreated-depression-effects). Like psychological stress, it can weaken the immune system (cells involved in fighting disease and keeping you healthy), allowing a person to get more colds or the [flu](https://www.webmd.com/cold-and-flu/ss/slideshow-cold-or-flu). There is often a notable presence of "aches and pains" with no particular cause. Having depression may also cause the symptoms of another medical illness to last longer and intensify its symptoms, but the true relationship of depression-induced illness, in terms of major disease, has not been thoroughly defined.\n\nIt is important to seek the advice of your doctor if you think you or someone you know may have depression. Your primary care doctor is a good place to start. They can screen you for depression and develop a treatment plan to help manage your symptoms.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	147
I've heard lots of warnings about drug interactions with certain depression medicines. What are they?	MAOIs, or monoamine oxidase inhibitors, are effective [antidepressant](https://www.webmd.com/depression/antidepressants-9/slideshow-antidepressants) medicines that have been used for years. Typically prescribed for people with severe depression, MAOIs improve mood by increasing the number of chemicals in the [brain](https://www.webmd.com/brain/ss/slideshow-concussions-brain-injuries) that pass messages between [brain](https://www.webmd.com/brain/rm-quiz-amazing-brain) cells. They have proven to work just as well as, if not better than, other antidepressant drugs, but they have more possible food and drug interactions.\n\nMedicines to avoid when taking MAOIs include all SSRIs (a group of [antidepressants](https://www.webmd.com/depression/guide/depression-medications-antidepressants) that includes [Prozac](https://www.webmd.com/drugs/2/drug-6997/prozac+oral/details) and [Paxil](https://www.webmd.com/drugs/2/drug-32900/paxil+cr+oral/details)) and certain pain medicines, including [Demerol](https://www.webmd.com/drugs/2/drug-3914/demerol+injection/details) and [tramadol](https://www.webmd.com/drugs/mono-5239-TRAMADOL+-+ORAL.aspx?drugid=4398&drugname=tramadol+oral). There are also some [cough medicines](https://www.webmd.com/cold-and-flu/cold-guide/cough-syrup-cough-medicine), decongestants, and [blood pressure](https://www.webmd.com/hypertension-high-blood-pressure/guide/diastolic-and-systolic-blood-pressure-know-your-numbers) medicines that should not be taken with MAOIs. Foods to avoid when taking MAOIs include aged cheeses and meats, pickled or smoked foods like sauerkraut or meat, and aged or fermented foods such as soy sauce or tap beer. It is important to tell your doctor about any medicines you are currently taking. Be sure to discuss the limitations, interactions, and possible side effects of MAOIs.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	148
Why are women more likely to get depression?	Women develop depression twice as often as men. One reason may be the various changes in hormone levels that women experience. For example, depression is common during pregnancy and menopause, as well as after [giving birth](https://www.webmd.com/baby/guide/delivery-methods), suffering a miscarriage, or having a [hysterectomy](https://www.webmd.com/women/guide/hysterectomy) -- these are all times when women experience huge fluctuations in hormones. Premenstrual syndrome ([PMS](https://www.webmd.com/women/pms/ss/slideshow-premenstrual-syndrome-pms)) and premenstrual dysphoric disorder (PMDD), an extreme form of PMS, may also cause depression.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	149
Do most people with depression attempt to commit suicide?	No. Most people who suffer from depression do not attempt suicide, but according to Mental Health America, 30%-70% of [suicide](https://www.webmd.com/help/crisis-resources-old) victims have suffered from some form of depression. This figure demonstrates the importance of seeking professional treatment for yourself or someone you love if you suspect depression.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	150
Will someone who has had depression get it again?	Having experienced an episode of major depression does put a person at greater risk for future episodes, but not everyone who has recovered from depression will experience it again. Sometimes depression is triggered by a major life event, illness, or a combination of factors particular to a certain place and time. Depression can also occur for no obvious ''reason." Getting the proper treatment for the correct amount of time is crucial to recovery and in helping prevent or identify any future depression.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	151
How long does depression last?	If left untreated, various types of depressive disorders can last for months or sometimes years. A major depressive episode is characterized by a set of symptoms that typically lasts for a few months.	https://www.webmd.com/depression/questions-and-answers-about-depression		[]	False	[]	152
